price,sqft_living,grade,yr_built,zipcode
2.0,2030,7,1942,98052
2.0,2310,8,1984,98027
2.0,1260,6,1905,98103
0.0,1540,7,1980,98038
1.0,2080,7,1971,98108
2.0,3230,9,2001,98001
3.0,4380,8,1900,98117
2.0,1590,8,2010,98103
0.0,880,6,1945,98178
0.0,1570,6,1950,98168
2.0,1610,7,1925,98144
3.0,2400,8,1964,98177
1.0,1450,7,1987,98034
1.0,770,6,1953,98117
1.0,2100,7,1924,98118
3.0,2910,9,1990,98052
3.0,2750,8,1914,98004
1.0,2100,8,1967,98178
0.0,2160,8,1978,98023
3.0,2320,7,1926,98103
1.0,2070,7,2004,98065
0.0,1060,7,1986,98092
3.0,2010,8,1986,98027
3.0,3950,9,1989,98052
2.0,2010,8,2014,98029
3.0,2140,9,2005,98107
0.0,1320,7,1956,98003
0.0,2020,7,1968,98003
2.0,2590,8,1968,98028
1.0,1190,6,1981,98125
2.0,1170,8,2014,98107
3.0,1110,7,1925,98119
2.0,2820,8,1968,98006
0.0,1610,7,1962,98058
1.0,1060,7,1923,98133
2.0,2030,8,1961,98006
3.0,3670,9,1994,98077
3.0,2550,8,1905,98109
1.0,2420,7,2007,98027
0.0,2260,8,1960,98032
2.0,1430,7,1947,98103
2.0,1360,8,1990,98103
2.0,1110,7,1947,98107
0.0,1250,7,1954,98003
3.0,5180,12,2006,98006
1.0,700,7,1942,98115
0.0,1180,7,1967,98058
3.0,3960,9,1996,98056
0.0,2640,8,1967,98023
0.0,1270,7,1916,98022
0.0,1760,8,1968,98059
0.0,2060,7,1962,98146
1.0,1780,7,1962,98034
3.0,3400,10,2000,98075
1.0,1910,7,1979,98034
1.0,2020,7,1975,98027
1.0,1580,7,1976,98034
0.0,1340,5,1949,98198
3.0,2680,9,1999,98006
3.0,2680,8,1979,98034
1.0,1370,7,1964,98133
0.0,1560,7,1954,98166
0.0,2160,7,1978,98023
0.0,1340,7,1955,98133
3.0,3880,10,1984,98033
3.0,2590,8,1980,98006
1.0,1120,8,2008,98122
1.0,1970,7,1986,98144
1.0,1220,6,1901,98122
0.0,1950,7,1975,98022
1.0,1350,7,1949,98177
0.0,1670,7,1988,98030
2.0,2380,7,1925,98126
2.0,2440,7,1961,98034
0.0,1050,7,1996,98038
3.0,3130,9,1993,98052
3.0,4090,10,1986,98033
0.0,1490,8,1969,98023
2.0,1900,8,1987,98074
2.0,1330,6,1901,98103
2.0,2230,8,1975,98052
0.0,1650,7,1977,98034
0.0,1190,6,1959,98058
3.0,2140,8,1959,98040
1.0,2180,7,1962,98133
0.0,1060,7,1948,98155
0.0,1690,8,2003,98023
1.0,1970,7,1920,98108
2.0,2150,8,2007,98126
1.0,1910,7,1997,98024
1.0,1350,7,1969,98038
0.0,860,6,1943,98056
0.0,1940,8,1994,98042
2.0,1010,7,1952,98107
0.0,1300,7,1976,98023
0.0,910,6,1962,98059
3.0,2480,9,1966,98040
3.0,2440,8,2010,98052
1.0,1010,7,1915,98116
0.0,900,6,1941,98166
2.0,2300,7,1920,98133
0.0,1550,8,1993,98038
2.0,1270,8,2014,98105
2.0,2240,9,1983,98074
2.0,2714,9,2005,98001
2.0,1720,8,1978,98118
0.0,850,6,1923,98168
3.0,3300,9,1957,98040
1.0,2250,8,2000,98146
3.0,3900,8,1947,98144
2.0,1320,8,1947,98177
3.0,2760,10,1999,98075
0.0,1750,7,1961,98198
2.0,2330,8,1987,98011
1.0,2220,8,1966,98030
1.0,2020,7,1994,98038
1.0,1250,7,1942,98146
2.0,1510,8,2005,98053
0.0,1720,7,1978,98023
0.0,1430,7,1961,98031
2.0,1480,7,2004,98053
3.0,1450,7,1915,98166
2.0,2280,7,1960,98059
0.0,2940,8,1978,98023
0.0,1000,6,1961,98024
2.0,2480,7,1947,98108
3.0,3760,10,1983,98033
1.0,2220,7,1976,98010
1.0,1970,7,1904,98122
3.0,3830,10,1993,98077
2.0,4410,9,1965,98003
0.0,1430,7,1968,98003
0.0,830,6,1940,98126
2.0,1430,7,1925,98115
0.0,1300,6,1954,98002
2.0,1030,7,1918,98103
1.0,2740,9,1990,98023
3.0,3650,9,2000,98074
0.0,720,6,1954,98106
0.0,2010,7,1976,98002
2.0,1560,6,1918,98103
0.0,1810,7,1978,98032
2.0,3360,9,2001,98058
1.0,1510,8,1991,98045
1.0,1400,7,1953,98118
0.0,1730,7,1987,98030
2.0,1420,7,1928,98115
1.0,2360,7,1955,98106
0.0,1580,7,1974,98059
0.0,1230,7,1979,98045
3.0,2460,8,2006,98052
3.0,1660,8,1911,98112
0.0,1270,7,1960,98198
2.0,2100,10,1979,98074
1.0,770,5,1930,98144
1.0,760,5,1936,98070
0.0,1700,7,1988,98031
0.0,1120,7,1954,98106
1.0,1070,7,1937,98115
0.0,2070,8,1979,98023
3.0,5050,11,1982,98004
3.0,5310,11,1989,98077
1.0,1040,7,1939,98133
0.0,1700,7,1967,98003
0.0,1300,7,1961,98178
1.0,1080,7,1954,98199
1.0,2653,8,2006,98031
2.0,2290,8,1960,98058
3.0,3820,9,2014,98028
2.0,2210,8,1997,98038
1.0,2390,6,1908,98118
0.0,2600,7,1969,98031
0.0,860,6,1931,98178
3.0,3830,9,1905,98122
3.0,3500,9,2005,98053
1.0,2420,8,1988,98028
1.0,2720,9,1992,98030
2.0,2500,7,1979,98072
1.0,1670,7,1980,98034
3.0,2900,8,1985,98006
2.0,1640,7,1954,98006
1.0,1890,7,1968,98166
2.0,2950,8,1975,98034
1.0,2160,9,1992,98001
2.0,3280,8,1986,98056
2.0,1970,8,1929,98126
3.0,3360,10,1994,98075
0.0,1320,7,1993,98042
1.0,2650,8,1990,98059
1.0,2030,7,1963,98108
0.0,1590,7,1957,98188
3.0,4550,10,2002,98074
1.0,2440,8,1998,98003
2.0,1940,7,1948,98117
0.0,2040,8,2006,98038
0.0,2200,7,1964,98166
3.0,1920,8,1913,98112
2.0,1800,8,1965,98177
2.0,2180,8,1984,98074
2.0,1010,6,1908,98105
3.0,3320,8,1960,98056
3.0,2370,8,1928,98144
0.0,1660,6,1915,98065
3.0,3650,10,1921,98119
3.0,4290,11,1997,98006
3.0,4290,11,1997,98006
0.0,1950,8,1979,98058
2.0,2590,8,1948,98133
1.0,1930,8,1988,98042
2.0,1470,7,1916,98103
0.0,800,6,1943,98166
3.0,3150,9,2013,98052
2.0,2030,8,1984,98027
0.0,1450,7,2003,98001
0.0,1510,7,1969,98023
0.0,1240,6,1922,98146
0.0,1240,6,1922,98146
0.0,3030,9,1987,98077
3.0,2050,9,1922,98102
0.0,1000,7,1952,98166
3.0,2370,9,1977,98005
3.0,2800,9,1951,98105
0.0,2240,7,1955,98198
0.0,1810,8,1991,98022
2.0,1070,7,1924,98103
3.0,2490,9,1968,98040
0.0,1960,7,2003,98038
2.0,2930,9,2004,98072
3.0,1510,7,1911,98103
0.0,1420,7,1954,98133
0.0,1740,7,1954,98178
2.0,2560,7,1962,98052
3.0,3040,9,2010,98059
1.0,2500,8,1957,98125
0.0,1275,6,1991,98070
2.0,2580,8,2002,98065
0.0,1000,6,1943,98178
0.0,1000,6,1943,98178
0.0,1070,6,1930,98059
0.0,1390,7,1987,98030
1.0,2500,7,1973,98155
0.0,560,4,1967,98014
3.0,2270,9,1965,98040
0.0,1900,7,1954,98166
1.0,990,7,1907,98103
0.0,1550,7,1969,98001
1.0,2200,7,1955,98118
0.0,1910,7,2005,98038
1.0,1750,7,1954,98006
3.0,1330,7,1928,98033
3.0,2440,9,2000,98116
2.0,1640,7,1992,98053
1.0,2760,9,1978,98059
1.0,1820,7,1994,98038
2.0,2110,8,2013,98033
3.0,3040,8,1966,98006
2.0,1840,7,1994,98045
3.0,2990,9,2002,98166
3.0,3520,10,1991,98074
3.0,2440,8,1989,98075
1.0,2090,7,1986,98056
0.0,1430,7,1993,98056
0.0,2180,7,1954,98133
2.0,2180,7,1954,98133
1.0,3450,9,2004,98023
0.0,1450,7,1994,98056
3.0,3230,10,2004,98075
2.0,1640,7,1940,98125
0.0,1590,7,1997,98038
2.0,2020,7,1960,98115
1.0,1300,7,1904,98144
0.0,1380,6,1954,98011
3.0,4040,10,1986,98077
1.0,2130,7,2001,98019
2.0,2550,8,1968,98052
3.0,4800,11,1998,98006
3.0,2510,8,1969,98040
1.0,1410,7,1983,98072
0.0,1650,7,1979,98058
1.0,2120,8,1993,98146
1.0,2040,7,1954,98177
1.0,1550,7,1957,98106
2.0,1980,9,1979,98008
1.0,1600,8,2005,98019
3.0,3300,8,1953,98004
3.0,3840,10,1983,98040
1.0,1220,7,1950,98028
2.0,2720,7,1958,98008
1.0,1940,8,1962,98006
1.0,2160,7,1909,98118
0.0,1530,7,1968,98058
2.0,1710,8,2008,98122
1.0,3730,7,1974,98022
1.0,940,7,1937,98117
1.0,1750,8,1994,98045
1.0,1820,7,1994,98038
3.0,1510,9,2001,98116
2.0,1290,8,2001,98103
0.0,1570,7,1998,98092
1.0,1930,8,1995,98055
3.0,2840,10,1986,98038
0.0,1550,7,1991,98031
2.0,833,5,2006,98070
2.0,2990,8,1978,98077
2.0,2000,9,1995,98034
1.0,2390,7,1920,98178
2.0,2910,7,1967,98052
2.0,2085,7,1964,98024
1.0,2200,7,1962,98133
1.0,1860,8,2012,98019
3.0,6070,12,1999,98024
2.0,950,7,1941,98103
2.0,1600,7,1955,98006
2.0,2250,8,1988,98056
1.0,2280,8,1985,98058
1.0,940,7,1909,98122
0.0,1530,7,1996,98038
0.0,2190,7,1947,98166
3.0,2350,8,1976,98004
1.0,1440,7,1971,98034
1.0,2200,8,2005,98058
1.0,2290,9,1990,98042
3.0,4040,11,1987,98052
3.0,2610,8,1922,98103
0.0,1490,7,2005,98055
2.0,2450,8,2003,98011
3.0,1710,9,1976,98006
3.0,4870,10,1983,98074
3.0,3130,10,1991,98052
1.0,1270,8,2000,98115
2.0,2120,8,1977,98146
0.0,1670,7,1954,98001
0.0,2070,7,1974,98001
2.0,1420,8,1953,98105
1.0,1250,6,1980,98038
0.0,940,7,1960,98032
1.0,1920,7,1968,98072
3.0,3545,10,2005,98027
2.0,1260,7,1972,98034
2.0,2340,7,1975,98034
2.0,2590,8,1977,98028
3.0,3970,10,1977,98034
1.0,1220,7,1965,98011
0.0,1400,6,1976,98038
3.0,2360,8,1983,98006
3.0,1870,8,1960,98040
2.0,2830,9,2001,98028
2.0,2260,8,1994,98072
3.0,1970,9,1980,98070
2.0,3140,9,1966,98055
0.0,1240,7,1986,98042
3.0,3450,10,2007,98006
1.0,2570,8,1989,98042
0.0,1510,7,1985,98031
1.0,2390,9,1988,98023
1.0,980,6,1953,98133
0.0,430,4,1912,98014
2.0,1480,7,1954,98133
1.0,1850,8,1997,98042
1.0,2270,7,1947,98168
1.0,1810,8,1993,98038
0.0,1610,6,1930,98178
3.0,3840,10,2000,98074
3.0,4110,9,1928,98125
3.0,4190,11,2000,98074
3.0,3390,9,2011,98074
2.0,1890,7,2003,98029
2.0,1610,9,2005,98118
1.0,1050,7,1949,98115
0.0,630,5,1918,98126
2.0,2910,8,1975,98033
1.0,1700,7,1955,98006
1.0,1950,9,1990,98042
3.0,2990,8,1973,98005
2.0,1350,7,1950,98136
3.0,4860,9,1993,98074
0.0,2160,8,1978,98023
3.0,4860,11,1998,98006
0.0,890,6,1917,98118
3.0,2810,9,2002,98075
3.0,3400,8,1977,98027
2.0,1580,7,1963,98052
1.0,1680,7,1987,98055
0.0,1300,7,1968,98042
3.0,2820,7,1960,98034
1.0,1510,7,1972,98034
2.0,1230,8,2004,98112
3.0,2110,9,1925,98116
0.0,3080,7,1958,98032
2.0,1490,7,1900,98116
1.0,2120,7,2000,98065
3.0,3180,9,2003,98065
2.0,1490,7,1929,98117
1.0,1930,8,1966,98042
3.0,2770,10,1999,98033
0.0,1670,7,1963,98055
0.0,1330,7,1993,98188
2.0,1210,7,1924,98107
1.0,1190,7,1941,98136
2.0,1540,7,1946,98119
3.0,4030,10,2006,98033
2.0,2430,8,1981,98052
2.0,2600,8,2005,98059
3.0,4410,9,1990,98053
0.0,1330,7,1949,98133
2.0,1900,7,1951,98116
0.0,1100,7,1950,98133
0.0,1980,6,1932,98030
3.0,2400,9,2001,98033
3.0,4760,9,1916,98112
3.0,3180,10,2005,98059
0.0,1190,6,1958,98058
0.0,630,6,1943,98178
2.0,2530,8,2005,98133
0.0,1690,5,1930,98055
0.0,940,6,1951,98126
3.0,1240,7,1952,98004
3.0,3040,7,2003,98053
3.0,6050,11,2001,98024
1.0,1590,6,1944,98125
3.0,2500,9,1984,98052
0.0,1780,7,1978,98038
0.0,1360,7,1978,98092
3.0,4740,10,1987,98075
0.0,1010,7,1962,98198
0.0,1040,6,1971,98010
1.0,1610,7,1985,98058
2.0,1570,7,1979,98011
2.0,1510,7,1900,98103
0.0,1360,7,1994,98042
1.0,1970,8,1999,98055
3.0,5403,12,1976,98166
0.0,1560,7,2003,98056
0.0,2320,8,1973,98032
2.0,2120,8,1967,98075
1.0,2120,8,1983,98031
3.0,3350,11,1988,98052
3.0,2380,10,1991,98006
0.0,1070,9,2008,98106
0.0,2300,7,1979,98058
0.0,1320,6,1943,98168
3.0,2180,7,1946,98040
3.0,4380,10,1952,98199
2.0,1790,7,1949,98155
0.0,750,6,1943,98055
1.0,1300,7,1956,98028
3.0,2990,9,1999,98059
3.0,4640,11,1965,98040
0.0,1400,7,1959,98188
3.0,2750,8,1973,98052
1.0,2050,7,1998,98042
2.0,2230,7,1978,98065
1.0,2340,8,1982,98092
3.0,2870,9,2014,98103
3.0,4120,10,1997,98074
2.0,2080,7,1960,98005
1.0,1840,7,2008,98053
0.0,1180,6,1959,98178
3.0,2160,7,1927,98105
2.0,1180,8,1907,98109
1.0,1160,6,1937,98014
1.0,1830,7,2003,98038
3.0,3200,10,2004,98075
1.0,2560,7,1927,98108
3.0,2550,8,1902,98122
0.0,1330,7,1981,98058
0.0,1220,7,1963,98038
0.0,1805,7,2009,98002
3.0,6050,9,2009,98077
2.0,2320,8,2004,98028
0.0,1384,6,1965,98023
2.0,2720,9,2005,98065
0.0,1820,7,1962,98003
3.0,2130,7,1941,98116
1.0,2060,7,1975,98034
0.0,1420,7,1981,98031
1.0,1510,7,1985,98045
2.0,2160,8,1903,98122
3.0,3180,11,1978,98074
1.0,2110,8,1985,98038
3.0,2060,8,1931,98144
2.0,1830,7,1981,98053
0.0,1820,7,1966,98022
0.0,1610,8,2006,98055
0.0,1780,7,2006,98038
1.0,1840,7,1996,98178
0.0,1460,7,1997,98168
1.0,1400,8,2007,98126
2.0,3370,9,2004,98045
2.0,3590,9,1997,98023
3.0,3200,9,1962,98040
2.0,1670,8,2004,98053
1.0,2420,9,1984,98092
0.0,1430,7,1994,98010
2.0,1440,7,1980,98052
1.0,1450,7,1985,98029
2.0,3550,8,1966,98188
2.0,1270,8,2000,98103
1.0,940,7,1949,98177
0.0,1670,7,1990,98042
2.0,3100,8,1996,98028
1.0,1100,7,1997,98103
3.0,1870,8,1925,98199
2.0,1930,8,1990,98029
3.0,2540,9,2005,98074
0.0,1280,7,1988,98031
1.0,1820,7,1967,98125
2.0,1490,7,1981,98052
2.0,1880,8,1988,98029
0.0,1250,7,1971,98045
0.0,1440,8,1983,98092
0.0,1920,7,1989,98031
2.0,2060,7,1976,98116
0.0,1210,7,1958,98002
2.0,1760,7,1927,98117
1.0,990,6,1947,98133
0.0,960,6,1944,98178
2.0,1660,9,2014,98144
3.0,1900,8,1941,98115
2.0,1270,7,1970,98199
2.0,3250,9,1983,98042
0.0,960,6,1982,98022
2.0,1330,7,1914,98199
1.0,2080,7,1968,98056
3.0,2690,8,1957,98028
2.0,890,7,1910,98105
1.0,1070,7,1977,98052
0.0,1200,6,1953,98002
0.0,1360,7,1949,98188
0.0,2050,8,1993,98003
3.0,3000,9,1924,98116
1.0,1300,7,1963,98136
0.0,2250,7,1982,98001
2.0,3740,8,1978,98028
3.0,1660,9,2015,98116
1.0,2360,7,2003,98065
0.0,1760,7,1987,98038
2.0,1680,7,1916,98136
2.0,1320,7,1918,98105
0.0,870,6,1939,98198
1.0,1260,6,1925,98146
0.0,1000,6,1944,98166
2.0,2020,8,1976,98077
1.0,1920,7,1952,98118
2.0,2150,7,1911,98126
1.0,1470,7,1999,98065
3.0,3180,10,1991,98052
3.0,3930,8,1957,98034
2.0,990,6,1943,98105
3.0,2770,8,2001,98052
3.0,1250,7,1953,98004
0.0,1140,7,1986,98045
2.0,2250,7,1967,98027
2.0,1640,7,1969,98155
0.0,1255,7,2004,98125
1.0,1290,7,1976,98072
1.0,1300,7,1986,98059
0.0,1220,8,2007,98133
3.0,2630,8,2002,98117
0.0,1950,8,1959,98003
3.0,3160,9,1965,98105
2.0,1550,7,1949,98115
1.0,1700,7,1940,98115
3.0,2510,8,1978,98006
3.0,1800,8,1921,98102
1.0,1800,8,1968,98058
2.0,1870,7,1975,98034
0.0,1010,7,1925,98045
0.0,1120,6,1924,98178
2.0,2090,8,1969,98136
3.0,4370,11,2001,98065
0.0,1440,7,1981,98023
3.0,2580,8,1984,98053
2.0,3190,10,2006,98038
1.0,2380,7,1995,98106
1.0,1420,7,1930,98115
3.0,2990,9,2014,98006
0.0,2680,8,1990,98023
2.0,2730,7,2006,98065
1.0,1220,6,1946,98115
1.0,1500,7,1967,98072
1.0,1830,8,1958,98055
3.0,4570,10,1965,98040
1.0,2470,8,1983,98058
1.0,800,6,1927,98115
3.0,2900,9,1992,98053
0.0,1410,7,1985,98030
3.0,2830,8,1979,98075
0.0,1680,7,1977,98198
0.0,1760,7,1979,98042
3.0,2240,8,1976,98004
3.0,1380,5,1905,98106
0.0,820,6,1953,98118
2.0,2180,6,1950,98005
2.0,1400,7,1900,98119
0.0,880,5,1928,98188
1.0,1060,6,1946,98198
1.0,1530,7,1984,98034
2.0,2480,8,1958,98155
0.0,1490,6,1967,98059
2.0,3660,9,1989,98022
1.0,2340,8,1993,98031
0.0,1450,7,1981,98001
2.0,2210,9,1990,98074
0.0,1130,7,1969,98003
1.0,1550,7,1961,98011
0.0,1710,7,1968,98032
1.0,1010,7,1954,98155
2.0,2660,7,1937,98125
3.0,2660,7,1937,98125
0.0,1300,7,1994,98010
0.0,1670,7,2002,98038
2.0,960,7,1911,98103
3.0,4670,12,1988,98005
2.0,2140,8,2007,98052
1.0,2520,8,2004,98178
0.0,1650,7,1978,98058
0.0,1440,8,1978,98198
0.0,1050,7,1950,98126
1.0,1470,7,1983,98059
3.0,4230,11,1989,98077
2.0,1970,8,1976,98055
0.0,1540,7,1992,98045
1.0,2090,8,2012,98019
2.0,2380,8,1934,98155
1.0,2156,9,2012,98030
1.0,2070,8,1986,98058
2.0,1910,8,1951,98117
2.0,1920,8,1977,98006
3.0,3400,9,1937,98105
0.0,1400,7,1974,98001
1.0,2210,8,1997,98030
2.0,1170,6,1929,98117
3.0,2100,9,1995,98077
0.0,1160,7,1967,98077
1.0,1500,6,1925,98117
2.0,2940,8,2000,98011
3.0,2010,7,1963,98116
1.0,2170,7,2003,98028
2.0,1430,7,1940,98117
1.0,1510,7,1970,98034
1.0,1150,6,1952,98155
3.0,2150,8,1960,98116
1.0,1370,7,1944,98108
3.0,2380,8,2010,98053
3.0,1370,7,1911,98112
0.0,1600,7,1979,98023
3.0,3750,9,1981,98006
3.0,3950,10,1991,98116
3.0,2400,9,1964,98005
1.0,2830,8,1918,98118
2.0,2440,8,1996,98053
1.0,1190,8,2008,98116
1.0,1400,7,1997,98019
1.0,2730,7,2005,98038
1.0,2390,7,1983,98056
2.0,2060,8,1984,98074
3.0,2490,8,1961,98004
0.0,1100,7,1984,98042
3.0,2430,8,1965,98115
1.0,3170,10,1995,98023
1.0,2640,8,1987,98058
1.0,1130,7,1961,98056
2.0,1940,7,1957,98177
2.0,1100,7,1912,98117
1.0,1200,7,1955,98006
1.0,2000,8,1963,98008
0.0,1890,8,2002,98168
2.0,1910,7,1910,98122
1.0,2710,9,1998,98092
3.0,4860,10,1905,98112
0.0,1250,7,1967,98059
1.0,1590,6,1938,98034
0.0,1240,8,2009,98133
3.0,2000,7,1911,98103
3.0,3610,8,1966,98008
0.0,1930,8,1966,98023
2.0,1280,7,1964,98117
2.0,2090,7,1984,98027
0.0,1940,7,1969,98003
1.0,1800,7,1990,98106
2.0,1730,7,1980,98052
3.0,2810,9,1982,98074
3.0,3550,11,1999,98006
0.0,1330,6,1952,98168
0.0,750,6,1950,98168
1.0,1760,7,1947,98133
3.0,3200,9,1993,98053
3.0,1740,8,1958,98033
2.0,2100,8,1999,98065
3.0,4270,12,1993,98077
3.0,1340,7,1913,98103
3.0,3190,9,1967,98006
1.0,1630,8,1987,98034
2.0,2990,9,2007,98011
1.0,1550,6,1954,98126
2.0,1690,8,1989,98029
0.0,1960,8,1989,98042
2.0,2390,8,1977,98006
2.0,2600,7,2004,98053
1.0,1950,8,1999,98042
1.0,1250,7,1964,98008
1.0,1180,8,2008,98122
1.0,1680,7,2004,98056
2.0,2220,9,1989,98075
3.0,4890,11,1999,98040
1.0,2660,8,2014,98010
0.0,1150,7,1988,98029
0.0,1130,6,1941,98030
3.0,2760,9,2005,98059
0.0,1430,7,1992,98022
1.0,1490,5,1932,98092
0.0,2030,8,2004,98031
3.0,3010,9,1931,98199
0.0,1810,7,1954,98133
1.0,1810,7,1954,98133
0.0,970,6,1968,98118
3.0,2010,7,1926,98103
0.0,1300,6,1947,98168
2.0,1260,7,1959,98008
3.0,2610,8,1983,98075
2.0,1910,8,1941,98115
1.0,1780,8,1987,98058
0.0,1900,8,1975,98023
3.0,2450,7,1957,98008
0.0,1380,5,1939,98001
1.0,1920,7,1977,98023
1.0,1350,8,2004,98053
1.0,1350,8,2004,98053
0.0,2510,8,1962,98032
1.0,2470,8,2002,98092
0.0,1660,7,1956,98168
0.0,1340,7,1987,98133
1.0,1620,7,1911,98006
1.0,2300,8,1977,98022
2.0,2000,8,2008,98177
1.0,1640,8,1972,98059
3.0,1530,7,1912,98105
2.0,4000,9,1987,98011
2.0,1610,7,1977,98052
0.0,2070,7,1969,98023
2.0,1900,8,1994,98029
0.0,1050,7,1960,98038
1.0,1520,8,2006,98136
2.0,2390,7,1949,98028
1.0,2400,8,1998,98092
1.0,1790,7,2005,98059
0.0,1720,7,1993,98038
2.0,2980,8,1979,98056
1.0,1520,8,1988,98027
0.0,1150,7,1977,98042
0.0,380,5,1963,98168
2.0,910,7,1951,98115
2.0,1650,8,1976,98033
3.0,2480,10,2010,98144
0.0,2050,8,1990,98092
0.0,1420,7,1989,98038
2.0,3460,7,2001,98056
2.0,1500,8,1996,98029
1.0,1320,7,1908,98118
0.0,2180,8,1977,98092
2.0,1830,7,1919,98144
2.0,1620,7,1962,98007
3.0,2920,8,1975,98033
3.0,3300,10,1984,98074
3.0,3060,10,1983,98006
3.0,3064,7,1990,98102
0.0,1530,7,1959,98031
1.0,1910,7,1978,98011
0.0,1020,7,1954,98198
0.0,1150,6,1932,98168
1.0,1260,7,1941,98115
0.0,1920,6,1914,98136
0.0,1800,8,1969,98092
3.0,2040,7,1924,98105
3.0,2200,8,1908,98119
3.0,3200,7,1952,98004
3.0,2400,7,1928,98122
2.0,1140,7,2005,98103
1.0,1330,7,1976,98011
2.0,1940,8,1994,98072
3.0,3000,9,1995,98053
3.0,1820,8,1923,98102
1.0,2910,8,2002,98042
1.0,1090,6,1954,98106
0.0,1230,7,2003,98106
1.0,1710,7,1962,98007
3.0,3160,9,1971,98040
3.0,2680,9,1993,98077
3.0,2190,8,1977,98033
0.0,1260,7,1988,98042
3.0,2970,9,1997,98040
3.0,2570,10,1993,98077
3.0,3810,9,2013,98056
0.0,1010,8,2007,98126
0.0,1480,7,1979,98058
2.0,1250,7,1942,98115
0.0,1654,7,1995,98038
0.0,1410,7,1960,98031
2.0,2160,7,1950,98144
1.0,1400,6,1917,98136
0.0,1420,7,1966,98002
2.0,2500,8,1975,98052
0.0,1410,7,1985,98001
1.0,2100,7,1955,98106
1.0,1750,8,1994,98055
3.0,2070,7,1946,98115
2.0,1570,8,2007,98107
1.0,1920,8,1999,98031
0.0,1000,6,1943,98106
0.0,2120,7,1962,98058
0.0,1440,7,1965,98198
1.0,1660,7,1990,98014
0.0,1340,7,1958,98188
3.0,2380,9,1972,98040
2.0,1560,7,1926,98126
3.0,2780,7,1967,98033
0.0,1860,7,1983,98031
1.0,2390,8,1920,98118
1.0,1370,8,2009,98133
1.0,2570,7,1988,98058
0.0,1320,7,2005,98118
2.0,2520,7,1981,98034
0.0,1250,6,1972,98010
